from_sector,to_sector,weight
Biotech,A&F,0.220332021
ComT,A&F,0.341361817
ElecE,A&F,0.279217798
Cpt,A&F,0.375989186
Media,A&F,0.607593418
Comm,A&F,0.440286186
HApp,Mining,0.159459652
Trans,Mining,0.184637503
L&S,Mining,0.115103985
ElecE,Mining,0.144484885
Cpt,Mining,0.461980137
Media,Mining,0.276029769
Comm,Mining,0.345680876
HApp,Chem,0.237428448
Biotech,Chem,0.193207965
ComT,Chem,0.380684124
Cpt,Chem,0.632878785
Media,Chem,0.365901881
Comm,Chem,0.721360989
Elec,Steel,0.205414177
Biotech,Steel,0.174411538
Util,Steel,0.160653242
ComT,Steel,0.165625346
L&S,Steel,0.179371433
ElecE,Steel,0.149424043
Cpt,Steel,0.370606226
Media,Steel,0.20722458
Comm,Steel,0.369485906
Auto,Steel,0.282111091
MechE,Steel,0.152728694
HApp,NFMet,0.21070908
Trans,NFMet,0.153193943
Media,NFMet,0.092424521
Comm,NFMet,0.305910837
T&A,Elec,0.116770926
Biotech,Elec,0.148751212
Util,Elec,0.125931138
ComT,Elec,0.621734185
Cps,Elec,0.478180548
Cpt,Elec,0.156751532
Media,Elec,0.468774548
Auto,Elec,0.15984927
MechE,Elec,0.123729732
Chem,HApp,0.586240232
T&A,HApp,0.192667119
Util,HApp,0.129233512
ComT,HApp,0.498456357
L&S,HApp,0.235130552
Cps,HApp,0.321587722
BM,HApp,0.267090587
ElecE,HApp,0.628594836
Cpt,HApp,0.70715054
Media,HApp,0.765458466
NBF,HApp,0.146016427
MechE,HApp,0.28625266
Chem,F&D,0.54191699
T&A,F&D,0.212443872
LMF,F&D,0.213063027
ComT,F&D,0.771243901
L&S,F&D,0.133314378
Cps,F&D,0.341052389
BM,F&D,0.381552789
ElecE,F&D,0.596143468
Cpt,F&D,0.787502683
Media,F&D,0.570824235
NBF,F&D,0.149437769
MechE,F&D,0.174788702
Elec,T&A,0.583126654
HApp,T&A,0.165018743
Biotech,T&A,0.289955774
ComT,T&A,0.365235904
Cpt,T&A,0.787933992
Media,T&A,0.390622437
Comm,T&A,0.824624179
Elec,LMF,0.292594105
HApp,LMF,0.182963847
Biotech,LMF,0.15124674
ComT,LMF,0.353961977
Cpt,LMF,0.746077071
Media,LMF,0.415605814
Comm,LMF,0.92468466
ComT,Biotech,0.597368293
Cps,Biotech,0.245302619
ElecE,Biotech,0.197282517
Cpt,Biotech,0.868606522
Media,Biotech,0.574358301
Comm,Biotech,0.472814943
Elec,Util,0.497491862
HApp,Util,0.204601812
Biotech,Util,0.259939867
ComT,Util,0.186901478
Cpt,Util,0.55105611
Media,Util,0.379499263
Comm,Util,0.740045174
Auto,Util,0.23356438
Elec,Trans,0.378725326
HApp,Trans,0.164053633
L&S,Trans,0.127446096
ElecE,Trans,0.239482075
Cpt,Trans,0.491039152
Media,Trans,0.231481099
Comm,Trans,0.613376229
Chem,REst,0.18914047
HApp,REst,0.393750881
F&D,REst,0.333817892
Biotech,REst,0.253710677
L&S,REst,0.251324415
Bank,REst,0.158870076
NBF,REst,0.205058405
Auto,REst,0.151973143
Elec,ComT,0.410500741
Biotech,ComT,0.246261715
ElecE,ComT,0.20774889
Cpt,ComT,0.693968736
Media,ComT,0.643217705
Comm,ComT,0.554244789
HApp,L&S,0.24834013
BM,L&S,0.228309893
Cpt,L&S,0.150274631
NBF,L&S,0.110606741
Elec,Cps,0.948938978
HApp,Cps,0.205710885
Biotech,Cps,0.320704113
ComT,Cps,0.286066413
Cpt,Cps,0.95579288
Media,Cps,0.469847709
Comm,Cps,1.004654386
Auto,Cps,0.154832831
Elec,BM,0.381112554
HApp,BM,0.302763739
Biotech,BM,0.200326116
ComT,BM,0.225969533
L&S,BM,0.338196533
Cpt,BM,0.617327089
Media,BM,0.554717334
Comm,BM,0.582507184
Chem,B&D,0.149844016
Elec,B&D,0.158853649
Cpt,B&D,0.222782182
Comm,B&D,0.302576263
Auto,B&D,0.229186428
HApp,ElecE,0.202088209
Biotech,ElecE,0.201407914
ComT,ElecE,0.430012891
Cpt,ElecE,0.388027108
Media,ElecE,0.395921893
Comm,ElecE,0.644919616
BM,ND,0.237667449
Cpt,ND,0.272289557
Comm,ND,0.497013578
Auto,ND,0.261887357
A&F,Cpt,0.136337661
HApp,Cpt,0.204151711
Biotech,Cpt,0.39853904
ComT,Cpt,0.646715812
Cps,Cpt,0.161707343
Comm,Cpt,0.306393452
Auto,Cpt,0.321654763
A&F,Media,0.110637038
Elec,Media,0.326139266
HApp,Media,0.131179729
Biotech,Media,0.360125987
ComT,Media,0.498344991
Comm,Media,0.59918498
Auto,Media,0.339785899
A&F,Comm,0.216114962
Chem,Comm,0.296377906
T&A,Comm,0.15121773
LMF,Comm,0.268785646
Biotech,Comm,0.303609404
Util,Comm,0.117976899
ComT,Comm,0.301318872
Cps,Comm,0.570473797
ElecE,Comm,0.190701269
Cpt,Comm,0.217041822
Media,Comm,0.595645742
Auto,Comm,0.351346913
HApp,Bank,0.215476812
Trans,Bank,0.115521667
L&S,Bank,0.333035362
