Ёи╫╩й╠╪Д, Ёи╫╩╪ш, ╪ш╦Я╠Д╤╞, Ёи╫╩а©(йж), Ёи╫╩╤Н(т╙), птжй
15:00:06, 9.14, -0.01, 0, 0, бТел
15:00:01, 9.15, --, 38, 35575, бТел
14:59:56, 9.15, 0.01, 16743, 15320467, бРел
14:59:51, 9.14, 0.01, 5073, 4637124, бРел
14:59:46, 9.13, --, 404, 368852, бТел
14:59:41, 9.13, --, 10504, 9590152, бТел
14:59:36, 9.13, --, 120, 109852, бТел
14:59:31, 9.13, -0.01, 130, 118763, бТел
14:59:26, 9.14, 0.01, 842, 769661, бРел
14:59:21, 9.13, 0.01, 2686, 2453121, бРел
14:59:16, 9.12, -0.01, 196, 178897, бТел
14:59:11, 9.13, --, 258, 235627, бТел
14:59:06, 9.13, -0.01, 175, 160249, бТел
14:59:01, 9.14, --, 96, 87890, бРел
14:58:51, 9.14, 0.02, 543, 496338, бРел
14:58:51, 9.12, --, 124, 113671, бТел
14:58:46, 9.12, --, 2151, 1962332, бРел
14:58:41, 9.12, --, 626, 570984, бРел
14:58:36, 9.12, --, 5008, 4568171, бРел
14:58:31, 9.12, --, 59, 53844, бРел
14:58:26, 9.12, --, 12960, 11819957, бТел
14:58:21, 9.12, --, 3022, 2756136, бТел
14:58:16, 9.12, --, 308, 280896, бТел
14:58:11, 9.12, -0.01, 297, 271703, бТел
14:58:06, 9.13, 0.01, 111, 101379, бРел
14:58:01, 9.12, --, 345, 315479, бТел
14:57:56, 9.12, --, 365, 333573, бТел
14:57:51, 9.12, --, 274, 249960, бТел
14:57:46, 9.12, --, 623, 568504, бТел
14:57:41, 9.12, 0.01, 3259, 2972536, бРел
14:57:36, 9.11, -0.01, 3516, 3203950, бТел
14:57:31, 9.12, --, 70, 63912, бРел
14:57:26, 9.12, 0.01, 6004, 5475647, бРел
14:57:21, 9.11, -0.01, 78, 71568, бТел
14:57:11, 9.12, --, 384, 351083, бРел
14:57:11, 9.12, --, 1371, 1250826, бРел
14:57:06, 9.12, --, 282, 257840, бРел
14:57:01, 9.12, --, 344, 313728, бТел
14:56:56, 9.12, --, 320, 291840, бТел
14:56:51, 9.12, --, 253, 231575, бТел
14:56:41, 9.12, --, 107, 98204, бТел
14:56:41, 9.12, -0.01, 190, 173936, бТел
14:56:36, 9.13, 0.02, 2381, 2174400, бРел
