       ±º‰,     ’≈Ã
 2016/01/04,555
 2016/01/05,561
 2016/01/06,551
 2016/01/07,550
 2016/01/08,551
 2016/01/11,550.5
 2016/01/12,535.5
 2016/01/13,529
 2016/01/14,531
 2016/01/15,528
 2016/01/18,542
 2016/01/19,543
 2016/01/20,537.5
 2016/01/21,531.5
 2016/01/22,545.5
 2016/01/25,545
 2016/01/26,551.5
 2016/01/27,560.5
 2016/01/28,552.5
 2016/01/29,555
 2016/02/01,558
 2016/02/02,558.5
 2016/02/03,559
 2016/02/04,564.5
 2016/02/05,558
 2016/02/15,558.5
 2016/02/16,566.5
 2016/02/17,563
 2016/02/18,568
 2016/02/19,571
 2016/02/22,594
 2016/02/23,600
 2016/02/24,612.5
 2016/02/25,608
 2016/02/26,606.5
 2016/02/29,612.5
 2016/03/01,613
 2016/03/02,608
 2016/03/03,602.5
 2016/03/04,591.5
 2016/03/07,616.5
 2016/03/08,622.5
 2016/03/09,600.5
 2016/03/10,601
 2016/03/11,612.5
 2016/03/14,614
 2016/03/15,613
 2016/03/16,613.5
 2016/03/17,623
 2016/03/18,633.5
 2016/03/21,624.5
 2016/03/22,627
 2016/03/23,622.5
 2016/03/24,609.5
 2016/03/25,616.5
 2016/03/28,610.5
 2016/03/29,611
 2016/03/30,609.5
 2016/03/31,642.5
 2016/04/01,656.5
 2016/04/05,657.5
 2016/04/06,655
 2016/04/07,654
 2016/04/08,655.5
 2016/04/11,674
 2016/04/12,696.5
 2016/04/13,711.5
 2016/04/14,711
 2016/04/15,688
 2016/04/18,719.5
 2016/04/19,720
 2016/04/20,755
 2016/04/21,772.5
 2016/04/22,765.5
 2016/04/25,818.5
 2016/04/26,797.5
 2016/04/27,761
 2016/04/28,729.5
 2016/04/29,773.5
 2016/05/03,727
 2016/05/04,730.5
 2016/05/05,706.5
 2016/05/06,694.5
 2016/05/09,664
 2016/05/10,688.5
 2016/05/11,688
 2016/05/12,684
 2016/05/13,664.5
 2016/05/16,685.5
 2016/05/17,720
 2016/05/18,704
 2016/05/19,709
 2016/05/20,727.5
 2016/05/23,691.5
 2016/05/24,660
 2016/05/25,656
 2016/05/26,684
 2016/05/27,685
 2016/05/30,688.5
 2016/05/31,683
 2016/06/01,685.5
 2016/06/02,688
 2016/06/03,697.5
 2016/06/06,704.5
 2016/06/07,695
 2016/06/08,681
 2016/06/13,662.5
 2016/06/14,645
 2016/06/15,655.5
 2016/06/16,659
 2016/06/17,673.5
 2016/06/20,668
 2016/06/21,677.5
 2016/06/22,701.5
 2016/06/23,708
 2016/06/24,705.5
 2016/06/27,734
 2016/06/28,727
 2016/06/29,716
 2016/06/30,719
 2016/07/01,717
 2016/07/04,728.5
 2016/07/05,717
 2016/07/06,721
 2016/07/07,722
 2016/07/08,733.5
 2016/07/11,739
 2016/07/12,771.5
 2016/07/13,755
 2016/07/14,739.5
 2016/07/15,744.5
 2016/07/18,715
 2016/07/19,722.5
 2016/07/20,720.5
 2016/07/21,742.5
 2016/07/22,731
 2016/07/25,751
 2016/07/26,742
 2016/07/27,753.5
 2016/07/28,771
 2016/07/29,763.5
 2016/08/01,780
 2016/08/02,787
 2016/08/03,780.5
 2016/08/04,769.5
 2016/08/05,784.5
 2016/08/08,821
 2016/08/09,808.5
 2016/08/10,810
 2016/08/11,815
 2016/08/12,813
 2016/08/15,865
 2016/08/16,877
 2016/08/17,866
 2016/08/18,845
 2016/08/19,848.5
 2016/08/22,857.5
 2016/08/23,868.5
 2016/08/24,867
 2016/08/25,859
 2016/08/26,861.5
 2016/08/29,874
 2016/08/30,883
 2016/08/31,859.5
 2016/09/01,876.5
 2016/09/02,901
 2016/09/05,936.5
 2016/09/06,946
 2016/09/07,903.5
 2016/09/08,909.5
 2016/09/09,902
 2016/09/12,865.5
 2016/09/13,855
 2016/09/14,866.5
 2016/09/19,891.5
 2016/09/20,926.5
 2016/09/21,931.5
 2016/09/22,921.5
 2016/09/23,943
 2016/09/26,963
 2016/09/27,960.5
 2016/09/28,970.5
 2016/09/29,999.5
 2016/09/30,1011.5
 2016/10/10,1023
 2016/10/11,1041
 2016/10/12,1063
 2016/10/13,1059.5
 2016/10/14,1111
 2016/10/17,1156
 2016/10/18,1180.5
