日期, 市场指数, 组合1, 组合2, 组合3, 组合4, 组合5, 无风险利率,SMB,HML
20090109,1904.86,1727.01,1281.3,1591.43,2469.13,1822.58,0.000043,0.0083,0.001
20090112,1900.35,1715.86,1300.27,1590.85,2488,1829.9,0.000042,0.0102,-0.0021
20090113,1863.37,1667.97,1273.8,1551.21,2407.01,1774.56,0.000041,-0.0019,0.0074
20090114,1928.87,1750.08,1329.63,1607.21,2463.77,1817.24,0.000041,0.0029,-0.0022
20090115,1920.21,1739.64,1334.24,1614.49,2456.65,1814.1,0.00004,0.0079,-0.0031
20090116,1954.44,1775.22,1351.27,1628.8,2506.71,1818.73,0.00004,-0.0102,0.0016
20090119,1986.67,1799.97,1360.71,1638.49,2489.74,1797.45,0.000039,-0.0059,0.0027
20090120,1994.11,1809.35,1379.29,1642.01,2506.13,1827.45,0.000039,0.0045,-0.0013
20090121,1985.02,1798.08,1372.67,1635.38,2487.05,1826.33,0.000039,0.0032,-0.0046
20090122,2004.95,1864.16,1405.04,1661.63,2501.09,1865.83,0.000038,-0.0007,-0.0017
20090123,1990.66,1845.82,1399.63,1647.82,2499.35,1843.09,0.000038,-0.0045,0.0037
20090202,2011.68,1853.84,1436.32,1680.25,2569.92,1867.56,0.000037,0.0105,-0.0036
20090203,2060.81,1885.7,1478.23,1732.67,2636.2,1890.76,0.000037,0.007,-0.0023
20090204,2107.75,1913.87,1522.63,1755.01,2700.73,1909.48,0.000037,-0.0003,0.0017
20090205,2098.02,1916.38,1504.89,1740.36,2674.16,1866.67,0.000037,-0.0001,0.0025
20090206,2181.24,1992.63,1575.12,1795.74,2779.23,1915.15,0.000036,0.0015,-0.0001
20090209,2224.71,2056.88,1646.63,1855.68,2874.59,1972.31,0.000036,-0.0029,-0.0105
20090210,2265.16,2096.39,1682.65,1888.62,2912.51,2022.34,0.000036,0.0079,-0.0059
20090211,2260.82,2066.61,1682.36,1895.06,2918.21,2025.46,0.000036,0.0023,-0.0005
20090212,2248.09,2009.78,1669.25,1895.77,2940.4,2074.29,0.000036,0.0143,-0.0029
20090213,2320.79,2069.64,1727.87,1975.7,3024.63,2123.56,0.000036,-0.0013,-0.0026
20090216,2389.39,2151.63,1801.25,2006.38,3064.77,2130.07,0.000035,-0.0022,0.0091
20090217,2319.44,2103.26,1760.87,1925.96,2988.45,2085.32,0.000035,-0.0045,-0.0066
20090218,2209.86,1960.64,1671.14,1842.14,2884.36,2038.03,0.000035,0.0074,-0.0099
20090219,2227.13,1975.65,1704.84,1876.53,2932.61,2073.71,0.000035,0.0005,0.0056
20090220,2261.48,2009.77,1763.1,1919,3017,2122.49,0.000035,0.0073,0.0023
20090223,2305.78,2048.13,1811.88,1959.2,3131.68,2183.98,0.000035,0.0076,-0.0023
20090224,2200.65,1933.33,1741.81,1871.51,3038.54,2105.5,0.000035,0.0017,0.0024
20090225,2206.57,1915.56,1732.16,1868.63,3046.62,2099.08,0.000035,0.0169,0.0069
20090226,2121.25,1843.69,1618.28,1767.02,2859.6,1970.1,0.000035,-0.0093,0.0053
20090227,2082.85,1796.04,1532.12,1702.14,2750.94,1912.95,0.000035,-0.0245,-0.0013
20090302,2093.45,1799.45,1573.67,1718.85,2816.59,1959.59,0.000035,0.0079,-0.0009
20090303,2071.43,1761.66,1565.91,1707.55,2805.77,2014.73,0.000035,0.0136,0.0008
20090304,2198.11,1882.19,1665.07,1815.31,2949.29,2100.06,0.000035,-0.0037,-0.0041
20090305,2221.08,1889.15,1687.93,1817.01,2929.32,2084.52,0.000035,0.0077,0.0045
20090306,2193.01,1881.74,1663.03,1796.27,2887.99,2047.41,0.000035,0.0028,-0.0022
20090309,2118.75,1827.64,1580.67,1728.56,2789.54,1974.96,0.000035,-0.0082,0.0007
20090310,2158.57,1883.09,1603.73,1774.71,2838.54,2015.86,0.000035,0.0078,-0.0009
20090311,2139.03,1863.54,1600.13,1760.54,2831.93,2020.93,0.000034,0.005,-0.0014
20090312,2133.88,1843.22,1597.16,1756.87,2791.28,2022.83,0.000034,0.0052,-0.0004
20090313,2128.85,1840.76,1589.6,1748.89,2765.45,2000.66,0.000034,-0.0008,-0.0005
20090316,2153.29,1848.92,1624.82,1763.16,2781.27,2012.05,0.000034,0.0027,-0.0028
20090317,2218.33,1922.86,1693.66,1817.91,2862.58,2074.35,0.000034,-0.0025,-0.0031
20090318,2223.72,1952.08,1721.87,1833.31,2876.38,2092.92,0.000034,-0.0002,-0.0024
20090319,2265.76,2044.72,1764.71,1880.56,2970.01,2111.76,0.000034,-0.0014,-0.0025
20090320,2281.09,2096.67,1819.37,1868.28,2953.66,2079.46,0.000034,-0.0084,-0.0021
